"Category","term_ID","term_description","observed_gene_count","background_gene_count","strength","signal","false_discovery_rate","matching_proteins_labels","hub_gene_count","log_signal","log_strength","z_signal","z_strength","log_FDR","penalty","hub_ratio","Hub_Score","Final_Score"
"GO Process","GO:0050851","Antigen receptor-mediated signaling pathway",16,141,1.35,2.91,1.19e-14,"LCP2,ZAP70,CD3D,CD247,MNDA,SYK,HLA-A,CD8A,PTPN6,INPP5D,PTPRC,LYN,LCK,LOC102723407,BTK,CTLA4",7,1.36353737399727,0.854415328156068,1.459433954114,0.619283607919793,13.9244530386075,4.95582705760126,0.4375,10.5,28.1886259810062
"GO Process","GO:1903557","Positive regulation of tumor necrosis factor superfamily cytokine production",14,105,1.42,2.88,1.24e-13,"IFNG,TLR2,TYROBP,CCR2,CD86,FCGR3A,CD2,TLR4,SYK,CYBB,JAK2,PTPRC,BTK,MYD88",6,1.35583515363518,0.883767540168595,1.43585367397562,0.782455082345583,12.9065783148378,4.66343909411207,0.428571428571429,9,25.9902820778686
"GO Process","GO:0050852","T cell receptor signaling pathway",11,103,1.32,2.09,8.57e-10,"LCP2,ZAP70,CD3D,CD247,HLA-A,CD8A,PTPN6,INPP5D,PTPRC,LCK,CTLA4",6,1.12817109090965,0.841567185678219,0.738862141127348,0.547859677387796,9.0670191780768,4.64439089914137,0.545454545454545,9,20.6735373698445
"GO Process","GO:0050853","B cell receptor signaling pathway",9,50,1.55,2.3,9.86e-10,"MNDA,SYK,PTPN6,PTPRC,LYN,LCK,LOC102723407,BTK,CTLA4",4,1.19392246847243,0.936093359170335,0.940159407308608,1.07333881653934,9.00612308505879,3.93182563272433,0.444444444444444,6,18.8881863412234
"GO Process","GO:0007159","Leukocyte cell-cell adhesion",9,56,1.5,2.18,2.35e-09,"RAC2,ICAM1,ZAP70,SYK,ITGB2,CD44,TNF,PTPRC,SELL",4,1.15688119679209,0.916290731874155,0.826757878678851,0.963254305973564,8.62893213772826,4.04305126783455,0.444444444444444,6,18.0847697587826
"GO Process","GO:0045061","Thymic T cell selection",6,19,1.79,1.93,1.17e-07,"CD74,CCR7,ZAP70,CD3D,PTPRC,DOCK2",3,1.07500242302898,1.02604159583327,0.576086730366398,1.57336881060002,6.93181413825384,2.99573227355399,0.5,4.5,15.9810818646998
"GO Process","GO:0045060","Negative thymic T cell selection",5,11,1.95,1.79,5.63e-07,"CD74,CCR7,ZAP70,PTPRC,DOCK2",3,1.02604159583327,1.08180517035173,0.426193586986133,1.88336332377487,6.24949160514865,2.484906649788,0.6,4.5,15.9695849553607
"GO Process","GO:0046635","Positive regulation of alpha-beta T cell activation",8,71,1.35,1.63,2.91e-07,"IFNG,ZAP70,CCR2,CD86,SYK,JAK2,HLA-A,PTPRC",4,0.966983846189673,0.854415328156068,0.245388804018306,0.619283607919793,6.53610701101409,4.27666611901606,0.5,6,14.544440891998
"GO Process","GO:0002861","Regulation of inflammatory response to antigenic stimulus",7,42,1.52,1.75,2.34e-07,"CCR7,FGR,SYK,HCK,TNF,LYN,BTK",3,1.01160091167848,0.924258901523332,0.381983559000459,1.00755004728179,6.63078414258986,3.76120011569356,0.428571428571429,4.5,14.0067268840392
"GO Process","GO:0033077","T cell differentiation in thymus",7,63,1.34,1.42,2.57e-06,"CD74,CCR7,ZAP70,CD3D,IL7R,PTPRC,DOCK2",3,0.883767540168595,0.85015092936961,-0.00937718758014797,0.595577447810673,5.59006687666871,4.15888308335967,0.428571428571429,4.5,11.6383266504519
