category,term.ID,term.description,observed.gene.count,background.gene.count,strength,signal,false.discovery.rate,matching.proteins.in.your.network..IDs.,matching.proteins.in.your.network..labels.
GO Process,GO:0002376,Immune system process,79,2121,0.87,2.6,3.55E-52,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000216037,9606.ENSP00000216341,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000265748,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000271450,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000300692,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312082,9606.ENSP00000320147,9606.ENSP00000320176,9606.ENSP00000331614,9606.ENSP00000332049,9606.ENSP00000354394,9606.ENSP00000354782,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357981,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000363993,9606.ENSP00000364016,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000469613,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000484431,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498227,9606.ENSP00000498321","CD74,CD4,LCP2,XBP1,GZMB,CORO1A,TGFB1,IFNG,PLEK,IRF1,CCR7,TLR2,TYROBP,ICAM1,ZAP70,ANLN,CD27,IRF8,FCGR2A,ATM,CSF1R,FCER1G,CCR2,CCR5,CD3D,CXCL10,IL7R,CASP3,TLR8,EZH2,HCLS1,IKZF1,CD86,STAT1,CD247,FASLG,FCGR3A,IFI16,MNDA,CTSS,CD2,PTEN,CD40,TLR4,FGR,PSMB9,PSMB8,SYK,HCK,CYBB,IRF4,JAK2,LILRB2,ETS1,TRAF3,HLA-A,IRF7,ITGB2,CD8A,CXCR4,PTPN6,CD44,TNF,HLA-B,INPP5D,PTPRC,LYN,DOCK2,CASP1,FLT3LG,VAV1,LCK,LOC102723407,BTK,CD48,ITGAM,CTLA4,SELL,MYD88"
GO Process,GO:0002682,Regulation of immune system process,67,1438,0.96,3.06,5.20E-47,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000271450,9606.ENSP00000278616,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000300692,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000312082,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000354394,9606.ENSP00000354782,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357981,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380921,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000484431,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,LCP2,XBP1,CORO1A,TGFB1,IFNG,IRF1,CCR7,RAC2,TLR2,TYROBP,ICAM1,ZAP70,CD27,FCGR2A,ATM,CSF1R,FCER1G,CCR2,LAPTM5,CD3D,CXCL10,IL7R,CASP3,TLR8,HCLS1,CD86,STAT1,CD247,FCGR3A,IFI16,MNDA,CTSS,CD2,PTEN,CD40,TLR4,FGR,SYK,HCK,IRF4,JAK2,LILRB2,ETS1,TRAF3,HLA-A,IRF7,SH3KBP1,ITGB2,CD8A,PTPN6,TNF,HLA-B,ARRB2,INPP5D,PTPRC,LYN,CASP1,VAV1,LCK,LOC102723407,BTK,CD48,ITGAM,CTLA4,MYD88"
GO Process,GO:0050776,Regulation of immune response,54,844,1.1,3.76,3.24E-42,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000216037,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000271450,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000312082,9606.ENSP00000332049,9606.ENSP00000354782,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000357981,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376500,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000403701,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000484431,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,LCP2,XBP1,TGFB1,IFNG,IRF1,CCR7,RAC2,TLR2,TYROBP,ZAP70,FCGR2A,FCER1G,CCR2,LAPTM5,CD3D,IL7R,TLR8,CD86,CD247,FCGR3A,IFI16,MNDA,CTSS,CD40,TLR4,FGR,SYK,HCK,IRF4,JAK2,LILRB2,TRAF3,HLA-A,IRF7,ITGB2,CD8A,PTPN6,TNF,HLA-B,ARRB2,INPP5D,PTPRC,LYN,CASP1,VAV1,LCK,LOC102723407,BTK,CD48,ITGAM,CTLA4,MYD88"
GO Process,GO:0006955,Immune response,61,1321,0.96,2.95,2.12E-41,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000216037,9606.ENSP00000216341,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000268638,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000292303,9606.ENSP00000300692,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000312082,9606.ENSP00000332049,9606.ENSP00000354394,9606.ENSP00000354782,9606.ENSP00000356694,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357981,9606.ENSP00000358490,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000367851,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000376436,9606.ENSP00000376500,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000386559,9606.ENSP00000386884,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405338,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000433138,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,LCP2,XBP1,GZMB,CORO1A,TGFB1,IFNG,IRF1,CCR7,TLR2,TYROBP,ICAM1,ZAP70,CD27,IRF8,CSF1R,FCER1G,CCR2,CCR5,CD3D,CXCL10,IL7R,TLR8,CD86,STAT1,CD247,FASLG,FCGR3A,IFI16,CTSS,CD2,CD40,TLR4,FGR,SYK,HCK,CYBB,IRF4,JAK2,LILRB2,ETS1,TRAF3,HLA-A,IRF7,CD8A,CXCR4,PTPN6,TNF,HLA-B,INPP5D,LYN,DOCK2,CASP1,VAV1,LCK,LOC102723407,BTK,ITGAM,CTLA4,MYD88"
GO Process,GO:0002684,Positive regulation of immune system process,53,874,1.08,3.57,2.64E-40,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000286301,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000300692,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000312082,9606.ENSP00000320176,9606.ENSP00000332049,9606.ENSP00000354782,9606.ENSP00000356946,9606.ENSP00000357113,9606.ENSP00000357123,9606.ENSP00000358490,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000365012,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000379873,9606.ENSP00000380697,9606.ENSP00000380921,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,LCP2,XBP1,CORO1A,TGFB1,IFNG,CCR7,RAC2,TYROBP,ICAM1,ZAP70,CD27,CSF1R,FCER1G,CCR2,LAPTM5,CD3D,CXCL10,IL7R,TLR8,HCLS1,CD86,CD247,FCGR3A,IFI16,MNDA,CD2,CD40,TLR4,FGR,SYK,HCK,JAK2,LILRB2,HLA-A,IRF7,SH3KBP1,ITGB2,CD8A,PTPN6,TNF,HLA-B,INPP5D,PTPRC,LYN,VAV1,LCK,LOC102723407,BTK,ITGAM,CTLA4,MYD88"
GO Process,GO:0050865,Regulation of cell activation,46,658,1.14,3.8,1.65E-36,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000289902,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000332049,9606.ENSP00000356946,9606.ENSP00000357123,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000379873,9606.ENSP00000380921,9606.ENSP00000380948,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,XBP1,CORO1A,TGFB1,IFNG,PLEK,IRF1,CCR7,RAC2,TYROBP,ZAP70,CD27,ATM,FCER1G,CCR2,LAPTM5,IL7R,CASP3,CD86,FCGR3A,MNDA,CD2,PTEN,CD40,TLR4,FGR,SYK,IRF4,JAK2,LILRB2,HLA-A,SH3KBP1,ITGB2,PTPN6,TNF,INPP5D,PTPRC,LYN,VAV1,LCK,LOC102723407,BTK,ITGAM,CTLA4,MYD88"
GO Process,GO:0045321,Leukocyte activation,44,574,1.18,4.02,2.71E-36,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000268638,9606.ENSP00000278616,9606.ENSP00000289902,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000320147,9606.ENSP00000331614,9606.ENSP00000332049,9606.ENSP00000354782,9606.ENSP00000356946,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000379873,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000483570,9606.ENSP00000484431,9606.ENSP00000496959,9606.ENSP00000498321","CD74,CD4,LCP2,CORO1A,TGFB1,IFNG,IRF1,CCR7,TLR2,TYROBP,ICAM1,ZAP70,IRF8,ATM,FCER1G,CD3D,IL7R,EZH2,IKZF1,CD86,CD247,FCGR3A,CD2,PTEN,CD40,TLR4,SYK,IRF4,JAK2,HLA-A,ITGB2,CD8A,PTPN6,CD44,TNF,PTPRC,LYN,DOCK2,VAV1,LCK,BTK,CD48,ITGAM,MYD88"
GO Process,GO:0001775,Cell activation,46,693,1.12,3.64,1.13E-35,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000046794,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000234313,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000260010,9606.ENSP00000262629,9606.ENSP00000264832,9606.ENSP00000264972,9606.ENSP00000268638,9606.ENSP00000278616,9606.ENSP00000289902,9606.ENSP00000300692,9606.ENSP00000305651,9606.ENSP00000306157,9606.ENSP00000320147,9606.ENSP00000331614,9606.ENSP00000332049,9606.ENSP00000354782,9606.ENSP00000356946,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000379873,9606.ENSP00000380948,9606.ENSP00000386559,9606.ENSP00000391592,9606.ENSP00000398632,9606.ENSP00000398698,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000429283,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000483570,9606.ENSP00000484431,9606.ENSP00000496959,9606.ENSP00000498321","CD74,CD4,LCP2,CORO1A,TGFB1,IFNG,PLEK,IRF1,CCR7,TLR2,TYROBP,ICAM1,ZAP70,IRF8,ATM,FCER1G,CD3D,CXCL10,IL7R,EZH2,IKZF1,CD86,CD247,FCGR3A,CD2,PTEN,CD40,TLR4,SYK,IRF4,JAK2,HLA-A,ITGB2,CD8A,PTPN6,CD44,TNF,PTPRC,LYN,DOCK2,VAV1,LCK,BTK,CD48,ITGAM,MYD88"
GO Process,GO:0002694,Regulation of leukocyte activation,44,601,1.16,3.88,1.37E-35,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000332049,9606.ENSP00000356946,9606.ENSP00000357123,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000379873,9606.ENSP00000380921,9606.ENSP00000380948,9606.ENSP00000391592,9606.ENSP00000398698,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000496959,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,XBP1,CORO1A,TGFB1,IFNG,IRF1,CCR7,RAC2,TYROBP,ZAP70,CD27,ATM,CCR2,LAPTM5,IL7R,CASP3,CD86,FCGR3A,MNDA,CD2,PTEN,CD40,TLR4,FGR,SYK,IRF4,JAK2,LILRB2,HLA-A,SH3KBP1,ITGB2,PTPN6,TNF,INPP5D,PTPRC,LYN,VAV1,LCK,LOC102723407,BTK,ITGAM,CTLA4,MYD88"
GO Process,GO:0051249,Regulation of lymphocyte activation,41,508,1.2,4.06,2.29E-34,"9606.ENSP00000009530,9606.ENSP00000011653,9606.ENSP00000216037,9606.ENSP00000219150,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000245414,9606.ENSP00000246657,9606.ENSP00000249071,9606.ENSP00000262629,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000278616,9606.ENSP00000292301,9606.ENSP00000294507,9606.ENSP00000306157,9606.ENSP00000311032,9606.ENSP00000332049,9606.ENSP00000356946,9606.ENSP00000357123,9606.ENSP00000358490,9606.ENSP00000361021,9606.ENSP00000361359,9606.ENSP00000363089,9606.ENSP00000363117,9606.ENSP00000364898,9606.ENSP00000370343,9606.ENSP00000371067,9606.ENSP00000375629,9606.ENSP00000379873,9606.ENSP00000380921,9606.ENSP00000391592,9606.ENSP00000405338,9606.ENSP00000411355,9606.ENSP00000428924,9606.ENSP00000472929,9606.ENSP00000477713,9606.ENSP00000478289,9606.ENSP00000483570,9606.ENSP00000497102,9606.ENSP00000498321","CD74,CD4,XBP1,CORO1A,TGFB1,IFNG,IRF1,CCR7,RAC2,TYROBP,ZAP70,CD27,ATM,CCR2,LAPTM5,IL7R,CASP3,CD86,FCGR3A,MNDA,CD2,PTEN,CD40,TLR4,FGR,SYK,IRF4,JAK2,LILRB2,HLA-A,SH3KBP1,PTPN6,INPP5D,PTPRC,LYN,VAV1,LCK,LOC102723407,BTK,CTLA4,MYD88"
