GeneSymbol,ProbeID
IGLL3,11715164_s_at
WDFY4,11715207_at
EBI3,11715346_at
MUTED,11715396_s_at
LYZ,11715461_at
ARHGDIB,11715466_at
MCL1,11715482_a_at
HLADPA1,11715583_s_at
PSMB8,11715665_a_at
TPM3,11715667_s_at
IFITM1,11715670_a_at
ARPC5,11715685_s_at
CD44,11715915_a_at
SH3BGRL3,11715919_a_at
KCTD12,11715948_at
CMTM3,11716015_a_at
RAB31,11716018_s_at
STMN3,11716055_s_at
PCNA,11716103_a_at
PRC1,11716358_s_at
TGFB1,11716385_at
LGALS9,11716406_x_at
C1QA,11716416_at
RFTN1,11716450_s_at
F13A1,11716479_s_at
PPT1,11716533_a_at
HLADMA,11716554_a_at
IER5,11716629_at
CTRL,11716640_a_at
ARHGAP17,11716713_a_at
IRF1,11716733_at
CASP4,11716759_a_at
CCNB2,11716793_a_at
IFI16,11716795_s_at
PLEKHA2,11716804_at
VSIG4,11716818_a_at
CD53,11716842_a_at
MS4A6A,11716846_a_at
PREX1,11716848_a_at
RNASET2,11716908_a_at
NAGK,11716918_a_at
CSF1R,11716993_a_at
CDC20,11717163_s_at
STAT5A,11717178_a_at
STK10,11717217_at
PIM1,11717256_at
HLADPB1,11717300_x_at
SEC24D,11717319_a_at
ITGB2,11717337_a_at
DDB2,11717397_a_at
SH2B3,11717409_at
NUB1,11717503_s_at
IRF4,11717508_at
PTTG1,11717521_x_at
NFKB1,11717542_a_at
DTX3L,11717561_s_at
CD52,11717580_a_at
RHOG,11717636_s_at
EZH2,11717657_a_at
GMFG,11717760_a_at
TNFAIP2,11717823_s_at
AIF1,11717836_a_at
CD37,11717858_a_at
DUSP5,11717863_a_at
IRF8,11717872_a_at
GNAI2,11717889_s_at
ASF1B,11717900_at
APOC1,11717986_a_at
C10orf54,11718001_a_at
CDC25B,11718005_a_at
IL4R,11718073_at
LYN,11718084_a_at
TK1,11718127_at
EMP3,11718140_a_at
NMI,11718158_a_at
CDCA5,11718183_at
FCHSD2,11718184_a_at
HLAF,11718230_a_at
FXYD5,11718290_a_at
TACC3,11718297_a_at
FCER1G,11718419_at
WIPF1,11718568_a_at
UBA7,11718608_at
CD97,11718680_a_at
ADA,11718788_a_at
TNFRSF1B,11718807_at
PRKCH,11718809_a_at
DNAJC25GNG10,11718843_s_at
PTPRCAP,11718849_at
HCK,11718861_a_at
RGS19,11718915_a_at
IRF7,11718916_a_at
TNFAIP3,11718939_s_at
AURKA,11718943_a_at
CCL4,11718982_s_at
WDFY1,11719021_at
RASSF5,11719049_a_at
BTN2A1,11719050_a_at
FAM49B,11719132_s_at
PYGL,11719302_a_at
CRELD2,11719327_a_at
ARHGAP15,11719332_at
PLEKHO2,11719367_a_at
CAP1,11719377_x_at
TMC6,11719431_a_at
HECA,11719433_at
GBP2,11719447_s_at
C1QB,11719465_a_at
ALOX5AP,11719479_at
CSTA,11719480_a_at
TMEM194A,11719539_a_at
CTSS,11719554_at
MICAL1,11719686_a_at
RARRES3,11719692_a_at
CDC45,11719699_a_at
SYK,11719718_a_at
DCP2,11719738_at
ARHGAP27,11719745_s_at
TNFAIP8L2,11719780_at
C6orf62,11719800_at
CASP3,11719838_a_at
SMAP2,11719844_at
VASH1,11719892_at
PHF11,11719902_a_at
CXCL9,11719943_at
FKBP15,11719952_a_at
ATM,11720013_a_at
GLIPR2,11720063_a_at
LIMD2,11720096_a_at
KIF2A,11720107_s_at
MST4,11720115_a_at
C1orf96,11720143_at
CXCL13,11720161_at
SELL,11720167_at
MAD2L1,11720185_a_at
AURKB,11720203_a_at
IL2RG,11720207_a_at
KIF4A,11720241_at
CEP55,11720247_a_at
CCL18,11720251_at
ASCC3,11720264_at
CXCL10,11720298_at
SLA,11720300_a_at
GIMAP5,11720364_a_at
IMPDH1,11720380_a_at
C1QC,11720388_s_at
BAZ1A,11720443_s_at
MOBKL2A,11720493_s_at
GZMA,11720496_at
APOBEC3G,11720510_a_at
BCAT1,11720566_at
SMCHD1,11720585_a_at
MYD88,11720624_a_at
BUB1B,11720647_a_at
DGKA,11720680_a_at
TIFA,11720682_at
C1orf59,11720694_a_at
ADCY7,11720747_a_at
SELPLG,11720763_a_at
RAB8B,11720798_at
CENPW,11720827_a_at
N4BP1,11720844_at
PLAC8,11720867_x_at
NELL2,11720910_a_at
HCP5,11720922_a_at
IKBKE,11720956_a_at
DCK,11720964_s_at
TOP2A,11720970_at
PTK2B,11720982_s_at
CCL3,11720994_x_at
BIN2,11720998_a_at
C3AR1,11721099_at
MKI67,11721143_a_at
DRAM2,11721158_a_at
PYCARD,11721169_a_at
RNASE6,11721202_at
LHFPL2,11721236_a_at
LAP3,11721243_a_at
GNG2,11721248_s_at
GIT2,11721292_a_at
CLEC2B,11721302_a_at
MPEG1,11721346_a_at
GLT25D1,11721554_a_at
MELK,11721563_a_at
ELF4,11721574_a_at
TNF,11721577_at
TRAF1,11721587_at
C1orf38,11721615_a_at
Septin6,11721626_a_at
MAFB,11721629_a_at
TBXAS1,11721661_a_at
DUSP2,11721695_s_at
ARHGAP30,11721728_a_at
PIK3R5,11721761_a_at
ADRBK2,11721763_at
PIM2,11721810_at
FAIM3,11721815_a_at
GLIPR1,11721838_a_at
FCN1,11721900_at
PRKCB,11721922_at
TMC8,11721927_at
UBE2L6,11721994_s_at
PARP14,11721996_a_at
GIMAP4,11722011_a_at
SKA1,11722069_a_at
Septin1,11722086_x_at
KIF21B,11722095_a_at
KNTC1,11722120_a_at
TNFRSF25,11722134_a_at
TRANK1,11722143_at
CORO7,11722170_a_at
ADAM8,11722225_a_at
RASSF1,11722247_a_at
NEK2,11722251_a_at
SASH3,11722269_a_at
ETS1,11722300_a_at
RAPGEF6,11722313_a_at
HHEX,11722321_at
DLGAP5,11722367_a_at
TRIM22,11722368_a_at
PLEKHO1,11722403_a_at
NUF2,11722442_a_at
TYMP,11722449_x_at
FGR,11722480_a_at
SP110,11722512_a_at
CCNA2,11722571_at
CDC42SE1,11722609_a_at
IL2RB,11722635_at
STK17A,11722655_s_at
NFE2L3,11722660_a_at
HPSE,11722662_a_at
PARP8,11722679_a_at
HCST,11722680_at
CSF2RB,11722725_a_at
EGR2,11722728_a_at
NCAPG,11722826_a_at
LYAR,11722840_s_at
BIRC3,11722850_a_at
MSL3,11722874_s_at
PHF19,11722880_a_at
EMB,11722886_s_at
SRGAP2,11722940_a_at
LYST,11722982_a_at
KIF20A,11723010_a_at
RIPK3,11723020_a_at
FAM26F,11723025_at
HSPA6,11723050_a_at
TAP2,11723059_a_at
GABBR1,11723069_at
CYLD,11723095_a_at
GNB4,11723104_at
NCF4,11723106_a_at
EMILIN2,11723111_a_at
LSP1,11723156_a_at
TMEM229B,11723159_at
FOXN2,11723169_s_at
ADAM19,11723188_s_at
UHRF1,11723192_a_at
HLADRB1,11723194_x_at
HLAE,11723195_x_at
CD3D,11723264_a_at
TYROBP,11723287_at
GMIP,11723335_s_at
LYL1,11723346_at
ARHGEF6,11723368_a_at
CEP110,11723378_a_at
STK4,11723400_a_at
TTK,11723435_s_at
CELF2,11723464_s_at
RNF166,11723494_a_at
HMHA1,11723537_a_at
CENPA,11723565_a_at
TTC13,11723590_a_at
LRRC8C,11723591_at
FAM113B,11723605_a_at
TOX2,11723612_a_at
TRIM21,11723623_s_at
CD69,11723679_s_at
CD302,11723692_a_at
FLI1,11723697_s_at
FAM64A,11723747_a_at
SAMD9,11723854_at
DOCK10,11723863_a_at
DOCK2,11723871_a_at
CECR1,11723882_x_at
TEP1,11723894_a_at
GAB3,11723911_a_at
CCNB1,11723939_a_at
ACSL5,11723946_a_at
PBK,11723950_a_at
APOBEC3C,11723956_x_at
APOL3,11723974_a_at
SPC25,11723998_at
FYB,11724004_a_at
ENTPD1,11724006_a_at
BID,11724046_a_at
SGOL2,11724055_x_at
SAMD9L,11724118_a_at
TRIM59,11724120_a_at
HLADOB,11724163_at
RIPK2,11724236_a_at
LAT2,11724237_a_at
RABGAP1L,11724325_a_at
ARHGAP25,11724326_a_at
UBE2C,11724328_a_at
ITGA4,11724343_at
ATG16L2,11724354_x_at
MYO5A,11724357_a_at
BATF,11724374_at
PAG1,11724375_at
FAM65B,11724381_at
DDX60L,11724399_a_at
CCNE1,11724407_s_at
GPR68,11724424_at
TPK1,11724435_a_at
ANLN,11724464_a_at
CSK,11724485_x_at
MFNG,11724499_at
PMAIP1,11724509_a_at
RP2,11724595_at
ERAP1,11724602_a_at
LIMK1,11724615_at
MAP4K1,11724656_a_at
LY86,11724678_a_at
CD300A,11724683_a_at
IFNAR2,11724685_x_at
CD8A,11724728_a_at
FCGR2A,11724768_s_at
LAIR1,11724804_x_at
CBL,11724807_at
SH3KBP1,11724816_a_at
GAB2,11724867_a_at
HAPLN3,11724883_a_at
GZMB,11724900_a_at
MRC1,11724954_s_at
FBXO5,11724963_s_at
DPEP2,11724979_a_at
CD86,11724997_a_at
RFX5,11725091_at
CST7,11725124_at
ADAP2,11725174_a_at
ATP8B2,11725232_at
RTP4,11725240_at
PNOC,11725242_at
LY75,11725249_at
IL15,11725255_a_at
PRDM8,11725280_a_at
KTELC1,11725379_at
CD6,11725389_a_at
NKG7,11725416_at
RAB27A,11725424_a_at
LAMP3,11725429_at
FOXM1,11725441_a_at
CD247,11725455_at
ACAP1,11725476_at
CD27,11725481_a_at
EFHD2,11725641_at
ATAD2,11725722_at
BTN2A2,11725755_a_at
C5orf39,11725782_at
DPYD,11725790_at
PTGER4,11725793_s_at
S1PR2,11725795_at
C21orf91,11725804_a_at
CD1D,11725827_s_at
PIF1,11725842_a_at
MYBL1,11725861_a_at
ITGB7,11725966_a_at
CCR7,11725981_at
PTPN6,11726034_a_at
STK17B,11726040_at
FCGR2B,11726046_s_at
MYO1F,11726122_at
POU2AF1,11726153_at
C12orf48,11726186_x_at
PRDM1,11726217_a_at
ANKDD1A,11726243_a_at
SLC1A3,11726251_a_at
CD74,11726254_s_at
WARS,11726286_a_at
DTL,11726302_a_at
CRLF3,11726324_at
GBP1,11726328_x_at
CEP170,11726331_a_at
ALOX5,11726337_a_at
CD180,11726353_at
HAUS8,11726373_a_at
GPR34,11726374_a_at
SLAMF1,11726382_a_at
GIMAP2,11726392_at
APBB1IP,11726421_a_at
TMEM149,11726464_a_at
DOK3,11726473_a_at
CYTH4,11726532_a_at
LCP1,11726559_s_at
PSME1,11726579_a_at
CTSZ,11726594_at
CDK1,11726617_s_at
BTN3A1,11726647_s_at
PSMB9,11726677_a_at
STAT1,11726689_a_at
LAT,11726777_a_at
ARHGAP9,11726820_a_at
LOC652346,11726876_a_at
IRAK3,11726894_a_at
IL18BP,11726928_s_at
TLR8,11726947_a_at
TAGAP,11727006_a_at
TMEM173,11727044_a_at
FNBP1,11727111_a_at
SIT1,11727112_a_at
MYCBP2,11727120_a_at
DDHD1,11727207_a_at
DSE,11727219_a_at
JAK3,11727257_a_at
C1orf162,11727292_a_at
TMEM71,11727302_a_at
GFI1,11727325_a_at
SPAG4,11727331_at
CENPM,11727353_a_at
CANX,11727426_a_at
GPR183,11727428_at
SAP30,11727477_at
KIF11,11727489_a_at
ZNF267,11727522_a_at
TCF7,11727561_x_at
TNFSF13B,11727565_a_at
KLHL6,11727572_s_at
KLRB1,11727609_at
EID3,11727623_at
KLRK1,11727694_a_at
RASGEF1A,11727731_at
CD300LF,11727740_a_at
NIN,11727770_a_at
EVL,11727835_a_at
CYBB,11727876_at
CPNE5,11727888_a_at
FMNL1,11727913_a_at
OSTF1,11727920_a_at
FPR3,11727942_a_at
ESCO2,11727968_at
STX11,11727992_at
CASP10,11728056_a_at
SH3BP1,11728062_a_at
GZMH,11728125_a_at
CXCR4,11728189_a_at
CD5,11728236_at
LILRB2,11728265_a_at
LILRB1,11728267_s_at
SH2D1A,11728290_a_at
CCNE2,11728300_at
EED,11728378_a_at
LRRC33,11728405_s_at
DERL3,11728406_x_at
PLA2G7,11728421_a_at
PILRA,11728423_a_at
JAKMIP1,11728480_a_at
CLEC4A,11728489_a_at
CD300C,11728503_at
LY96,11728507_at
TRAF5,11728512_a_at
SP140,11728515_a_at
MYCL1,11728523_a_at
GZMK,11728560_at
MBNL1,11728572_s_at
ACTR3,11728643_s_at
CD163,11728679_a_at
RHOH,11728720_at
ADRB2,11728728_s_at
GAL3ST4,11728763_x_at
ZAP70,11728780_a_at
RAB39B,11728851_s_at
DAPP1,11728901_a_at
NFAM1,11728926_at
LST1,11728944_a_at
DISC1,11728961_a_at
CD84,11729000_x_at
ADAMDEC1,11729110_s_at
SLAMF7,11729138_a_at
UBE2T,11729158_at
NCK1,11729219_at
ITGAL,11729226_x_at
MNDA,11729251_at
SERPINB9,11729263_x_at
GBP5,11729274_a_at
PSTPIP2,11729338_x_at
POU2F2,11729341_at
IFNGR1,11729406_a_at
ATP2A3,11729419_a_at
CD244,11729423_at
CCRL2,11729424_s_at
KIAA1274,11729431_a_at
FANCI,11729458_a_at
CLEC12A,11729479_a_at
DCLRE1C,11729488_x_at
CXorf65,11729520_at
NLRC5,11729523_a_at
XBP1,11729575_a_at
ELMO1,11729610_a_at
PRF1,11729649_at
LILRB3,11729721_s_at
IL10RA,11729747_a_at
RGS18,11729758_at
CD38,11729769_a_at
RNASE2,11729772_at
IL27RA,11729821_at
CD3E,11729855_at
TET3,11729924_at
CXCR6,11729977_a_at
SLFN12,11729996_a_at
KBTBD8,11730012_s_at
E2F7,11730029_a_at
LAG3,11730060_a_at
BCL2A1,11730096_a_at
FLT3LG,11730099_a_at
NLRC3,11730109_a_at
DEPDC1,11730111_a_at
GPR114,11730148_a_at
ARAP2,11730207_at
PVRIG,11730247_a_at
CLEC2D,11730321_a_at
SLA2,11730342_x_at
AIM2,11730457_a_at
RNF125,11730477_at
ALPK1,11730576_a_at
CTLA4,11730636_a_at
LY9,11730660_a_at
AP1S2,11730719_x_at
TAP1,11730729_a_at
SLC2A6,11730782_x_at
BTN3A2,11730806_at
LILRB4,11730813_at
CDKN3,11730821_x_at
BTK,11730847_a_at
CCR5,11730909_s_at
AKNA,11730935_a_at
IFNG,11730947_at
S1PR4,11730994_at
AMICA1,11730996_a_at
C14orf106,11731004_at
IL15RA,11731039_s_at
GIMAP1,11731065_a_at
LTB4R,11731135_a_at
TLR7,11731147_at
MATK,11731227_a_at
NFATC1,11731281_a_at
PYHIN1,11731290_a_at
NOD2,11731340_at
ICOS,11731360_a_at
TSPAN32,11731366_a_at
FCGR3A,11731422_s_at
TMEM154,11731602_at
SIDT1,11731617_x_at
ARRB2,11731620_a_at
GPR65,11731669_at
CCR2,11731676_s_at
P2RY13,11731728_at
CD3G,11731764_a_at
RASAL3,11731783_a_at
CD40,11731818_a_at
KLRC1,11731848_s_at
NLRP1,11731879_a_at
KIF14,11731887_at
KCNA3,11731916_at
SAMD3,11731949_a_at
PTPN22,11731972_a_at
CLECL1,11731993_at
IL18RAP,11732017_a_at
TIFAB,11732096_at
PTPN7,11732169_a_at
PTAFR,11732180_a_at
RAD51AP1,11732191_s_at
APOL6,11732244_at
CCL5,11732275_at
HSH2D,11732284_x_at
ARL4C,11732331_s_at
FAM105A,11732418_at
C17orf87,11732435_at
01-Mar,11732456_a_at
CXCL11,11732466_a_at
ITGAM,11732479_a_at
N4BP2L1,11732531_s_at
LMNB1,11732533_a_at
TBX21,11732538_at
GPR18,11732544_a_at
FASLG,11732555_at
STIL,11732661_x_at
GAPT,11732759_at
C5orf20,11732813_at
MS4A4A,11732865_a_at
CASP1,11732870_a_at
APOBEC3B,11732901_a_at
TBC1D2B,11732936_a_at
TARP,11732956_a_at
RAB33A,11732962_a_at
ICAM1,11732999_a_at
RNF213,11733014_a_at
TNFAIP8,11733161_a_at
PSTPIP1,11733162_a_at
IL7R,11733187_a_at
FMNL3,11733194_s_at
DDX39,11733198_a_at
SLFN5,11733213_x_at
STAT4,11733215_a_at
RLTPR,11733226_x_at
CRTAM,11733353_at
C5AR1,11733355_x_at
JAK2,11733372_a_at
DEF6,11733389_a_at
CLEC7A,11733402_a_at
SLFN11,11733450_a_at
DOCK8,11733611_a_at
BCL11B,11733620_a_at
ZNF831,11733623_at
NECAP2,11733642_s_at
SIGLEC7,11733691_a_at
FKBP11,11733701_a_at
LAIR2,11733718_x_at
CD2,11733736_a_at
LILRA2,11733767_a_at
EVI2A,11733841_a_at
GRK6,11733845_at
APOL1,11733855_a_at
BIRC5,11733864_a_at
HLADOA,11733868_at
RAP2B,11733944_at
GBP4,11733950_at
CD28,11733979_at
PDK1,11733981_a_at
TRAT1,11734050_a_at
CD200R1,11734063_a_at
IRAK4,11734067_a_at
TIGIT,11734110_at
BTN3A3,11734117_a_at
NOD1,11734125_a_at
TBC1D10C,11734139_a_at
KLRC3,11734394_at
SCLT1,11734521_x_at
RASGRP2,11734567_a_at
KLRC4,11734585_at
SLC2A14,11734657_s_at
CYTIP,11734689_at
DBF4,11734713_s_at
IL16,11734727_a_at
CLIC2,11734783_at
C13orf18,11734852_a_at
ZNF276,11734922_x_at
CSF2RA,11734938_x_at
SLAMF6,11734943_a_at
THEMIS,11734967_a_at
GCET2,11735035_a_at
CYSLTR1,11735157_at
EMR2,11735192_a_at
BTLA,11735221_a_at
KLRG1,11735223_a_at
SP140L,11735249_x_at
IL7,11735258_x_at
GCNT1,11735270_a_at
FAM72A,11735324_s_at
CD47,11735329_a_at
XCL1,11735394_s_at
CD8B,11735474_a_at
ANKRD44,11735492_at
NLRC4,11735504_a_at
FCRL6,11735552_at
BRCA1,11735584_x_at
PTGDR,11735589_at
SAMSN1,11735710_s_at
RASA3,11735741_s_at
C16orf54,11735767_at
CD48,11735937_a_at
IGJ,11735989_s_at
P2RX7,11736065_x_at
PLXNC1,11736207_a_at
MAP3K8,11736217_at
KIAA0101,11736249_x_at
INPP4A,11736255_a_at
TLR2,11736273_a_at
LPAR5,11736299_at
FCGR1A,11736311_x_at
CD96,11736324_x_at
KCNK6,11736457_at
CARD9,11736526_a_at
REL,11736551_x_at
