"Disease_Code","Disease_Name","Name","Source","P_value","FDR_Bonferroni","FDR_BH","FDR_BY","Query_Hits","Genome_Hits","Hits"
"DOID:7693","DOID:7693 (biomarker_via_orthology)","abdominal aortic aneurysm (biomarker_via_orthology)","AllianceGenome",1.3e-05,0.0286,0.000236,0.00195,3,14,"SELL,FASLG,IFNG"
"C4316788","C4316788","Abnormality of the intestine","DisGeNET Curated",0.0067,1,0.0185,0.153,1,2,"CTLA4"
"C0000822","C0000822","Abortion, Tubal","DisGeNET Curated",0.00595,1,0.0185,0.153,3,109,"CXCL10,CD8A,CD69"
"DOID:6543","DOID:6543 (is_implicated_in)","acne (is_implicated_in)","AllianceGenome",0.02,1,0.039,0.322,1,6,"TNF"
"C2936664","C2936664","Acquired Hypogammaglobulinemia","DisGeNET Curated",0.000601,1,0.0046,0.0381,2,11,"IKZF1,ICOS"
"DOID:635","DOID:635 (is_marker_for)","acquired immunodeficiency syndrome (is_marker_for)","AllianceGenome",0.000232,0.509,0.0021,0.0174,2,7,"IDO1,TNF"
"C0001197","C0001197","Acrodermatitis","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"PSMB9"
"C0751956","C0751956","Acute Cerebrovascular Accidents","DisGeNET Curated",0.0142,1,0.0315,0.26,2,54,"IRF1,TNF"
"DOID:639","DOID:639 (is_marker_for)","acute disseminated encephalomyelitis (is_marker_for)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"IFNG"
"DOID:9952","DOID:9952 (is_implicated_in)","acute lymphoblastic leukemia (is_implicated_in)","AllianceGenome",0.000847,1,0.00614,0.0508,3,55,"IRF4,IKZF1,IFNG"
"C0023449","C0023449","Acute lymphocytic leukemia","DisGeNET Curated",0.0233,1,0.0436,0.361,1,7,"IKZF1"
"DOID:9119","DOID:9119 (is_marker_for)","acute myeloid leukemia (is_marker_for)","AllianceGenome",0.0118,1,0.0286,0.237,2,49,"CXCR4,CD86"
"EFO_0000198, EFO_0000222","EFO_0000198, EFO_0000222","acute myeloid leukemia, myelodysplastic syndrome","GWAS",0.00336,1,0.0113,0.0932,1,1,"IRF4"
"DOID:9408","DOID:9408 (biomarker_via_orthology)","acute myocardial infarction (biomarker_via_orthology)","AllianceGenome",0.00398,1,0.0131,0.109,2,28,"IFNG,TNF"
"C0023487","C0023487","Acute Promyelocytic Leukemia","DisGeNET Curated",0.0105,1,0.0255,0.211,2,46,"ITGAL,IFNG"
"DOID:3611","DOID:3611 (is_marker_for)","acute retinal necrosis syndrome (is_marker_for)","AllianceGenome",0.00336,1,0.0113,0.0932,1,1,"IFNG"
"C0857501","C0857501","Acute schizophrenia","DisGeNET Curated",0.01,1,0.0246,0.203,1,3,"IFNG"
"C0162309","C0162309","Adrenoleukodystrophy","DisGeNET Curated",0.0233,1,0.0436,0.361,1,7,"IFNG"
"C1527231","C1527231","Adrenomyeloneuropathy","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"IFNG"
"C0751606","C0751606","Adult Acute Lymphocytic Leukemia","DisGeNET Curated",0.0134,1,0.0297,0.245,1,4,"IKZF1"
"EFO_1002011","EFO_1002011","adult onset asthma","GWAS",4.98e-05,0.109,0.000659,0.00546,5,118,"IRF1,ITK,CD247,PTPRC,IL7R"
"DOID:11394","DOID:11394 (is_marker_for)","adult respiratory distress syndrome (is_marker_for)","AllianceGenome",0.00344,1,0.0115,0.095,2,26,"PSMB9,TNF"
"DOID:0050523","DOID:0050523 (implicated_via_orthology)","adult T-cell leukemia/lymphoma (implicated_via_orthology)","AllianceGenome",0.0067,1,0.0185,0.153,1,2,"CD86"
"C0023493","C0023493","Adult T-Cell Lymphoma/Leukemia","DisGeNET Curated",8.42e-10,1.85e-06,6.17e-08,5.1e-07,6,31,"IRF4,IFNG,ICOS,CCR7,CTLA4,VAV1"
"C0221056","C0221056","Adult type dermatomyositis","DisGeNET Curated",0.02,1,0.039,0.322,1,6,"TNF"
"DOID:2583","DOID:2583 (is_implicated_in)","agammaglobulinemia (is_implicated_in)","AllianceGenome",0.01,1,0.0246,0.203,1,3,"BTK"
"300755","300755","AGAMMAGLOBULINEMIA, X-LINKED","OMIM MedGen",0.00336,1,0.0113,0.0932,1,1,"BTK"
"EFO_0004918, MONDO_0005147","EFO_0004918, MONDO_0005147","age at diagnosis, type 1 diabetes mellitus","GWAS",0.0185,1,0.0378,0.313,2,62,"FCGR3A,TNF"
"OBA_2001001","OBA_2001001","age of onset of asthma","GWAS",7.11e-06,0.0156,0.000168,0.00139,5,79,"TBX21,IRF1,CD247,PTPRC,IL7R"
"OBA_2001015","OBA_2001015","age of onset of childhood onset asthma","GWAS",0.000266,0.584,0.00238,0.0197,4,92,"IRF4,IKZF1,NOD2,CD247"
"DOID:10871","DOID:10871 (implicated_via_orthology)","age related macular degeneration (implicated_via_orthology)","AllianceGenome",0.02,1,0.039,0.322,1,6,"CCR2"
"EFO_0005128","EFO_0005128","albumin:globulin ratio measurement","GWAS",0.0251,1,0.0469,0.388,2,73,"IKZF1,CXCR4"
"C0001925","C0001925","Albuminuria","DisGeNET Curated",0.00293,1,0.0113,0.0932,2,24,"CASP1,TNF"
"DOID:12351","DOID:12351 (biomarker_via_orthology)","alcoholic hepatitis (biomarker_via_orthology)","AllianceGenome",0.00165,1,0.0103,0.0851,2,18,"CCL5,TNF"
"DOID:11204","DOID:11204 (implicated_via_orthology)","allergic conjunctivitis (implicated_via_orthology)","AllianceGenome",1.11e-05,0.0245,0.000211,0.00175,2,2,"LCK,IFNG"
"DOID:3042","DOID:3042 (biomarker_via_orthology)","allergic contact dermatitis (biomarker_via_orthology)","AllianceGenome",0.02,1,0.039,0.322,1,6,"CCR5"
"MONDO_0005271","MONDO_0005271","allergic disease","GWAS",0.00024,0.527,0.00217,0.0179,6,258,"IRF1,IKZF1,FASLG,CD247,CCR7,IL7R"
"EFO_0004847, MONDO_0005271","EFO_0004847, MONDO_0005271","allergic disease, age at onset","GWAS",0.00178,1,0.011,0.091,3,71,"IKZF1,FASLG,CCR7"
"C1527304","C1527304","Allergic Reaction","DisGeNET Curated",4e-11,8.81e-08,5.5e-09,4.55e-08,8,63,"CASP1,IFNG,CCR2,CLEC4A,CXCL9,CCL4,TNF,IL2RB"
"DOID:4481","DOID:4481 (is_marker_for)","allergic rhinitis (is_marker_for)","AllianceGenome",0.00147,1,0.00929,0.0769,2,17,"NOD2,IFNG"
"C0002152","C0002152","Alloxan Diabetes","DisGeNET Curated",0.0058,1,0.0185,0.153,3,108,"NCF1,IFNG,TNF"
"C0002171","C0002171","Alopecia Areata","DisGeNET Curated",4.32e-06,0.0095,0.000116,0.000959,3,10,"CXCL10,CXCL9,CTLA4"
"EFO_0801372","EFO_0801372","alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 measurement","GWAS",0.02,1,0.039,0.322,1,6,"CXCL10"
"EFO_0801373","EFO_0801373","alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 measurement","GWAS",0.0265,1,0.0474,0.392,1,8,"CXCL10"
"C4721507","C4721507","Alveolitis, Fibrosing","DisGeNET Curated",0.000179,0.393,0.00171,0.0141,4,83,"CCR2,CCL4,CCL5,TNF"
"DOID:10652","DOID:10652 (is_marker_for)","Alzheimer's disease (is_marker_for)","AllianceGenome",0.00177,1,0.011,0.091,5,257,"SELL,CASP1,CCL5,CCR5,TNF"
"DOID:9120","DOID:9120 (is_marker_for)","amyloidosis (is_marker_for)","AllianceGenome",0.0167,1,0.0345,0.286,1,5,"TNF"
"C1862939","C1862939","AMYOTROPHIC LATERAL SCLEROSIS 1","DisGeNET Curated",0.00064,1,0.00489,0.0405,3,50,"SELPLG,CASP1,TNF"
"C4551993","C4551993","Amyotrophic Lateral Sclerosis, Familial","DisGeNET Curated",0.000568,1,0.00446,0.0369,3,48,"SELPLG,CASP1,TNF"
