"ProbeID","GeneSymbol"
"11715165_at","DNAJC12"
"11715221_x_at","NSUN5"
"11715228_s_at","OSTBETA"
"11715263_at","SPEF2"
"11715307_s_at","MLXIPL"
"11715372_a_at","MDH1"
"11715430_a_at","AKR1B1"
"11715469_s_at","TXN"
"11715488_s_at","PGRMC1"
"11715519_a_at","MLEC"
"11715564_s_at","H1FX"
"11715627_x_at","ALDH2"
"11715711_a_at","AKR1C3"
"11715733_a_at","NIPSNAP1"
"11715745_a_at","KIAA1191"
"11715762_s_at","AP1M1"
"11715767_s_at","ACAA2"
"11715791_at","TUBG1"
"11715839_a_at","SDHC"
"11715877_s_at","CDK2AP1"
"11715899_a_at","SUCLG1"
"11715911_at","MYO6"
"11715923_a_at","GSS"
"11715941_s_at","AQP1"
"11715954_a_at","CNDP2"
"11715957_s_at","PEPD"
"11715991_a_at","MCM2"
"11716047_a_at","C21orf33"
"11716064_a_at","SLC37A4"
"11716069_at","PPPDE1"
"11716072_s_at","ATP6V1B2"
"11716176_s_at","METAP2"
"11716206_a_at","GLUD1"
"11716211_a_at","HIBADH"
"11716243_a_at","PPP1R16A"
"11716271_at","POLR2E"
"11716304_a_at","ABHD14B"
"11716351_s_at","HSPE1"
"11716370_x_at","FAM89B"
"11716375_s_at","PRKCZ"
"11716376_at","SERPINA5"
"11716380_a_at","BRP44"
"11716386_a_at","RAB11FIP5"
"11716394_x_at","ADH5"
"11716397_a_at","AKR7A2"
"11716403_at","EIF4EBP2"
"11716509_a_at","AKR1A1"
"11716553_a_at","RHBDD2"
"11716667_a_at","MTHFD1"
"11716716_x_at","CTSB"
"11716738_at","SEPX1"
"11716740_a_at","SLC6A8"
"11716763_a_at","NELF"
"11716782_a_at","TBL1XR1"
"11716813_a_at","GATM"
"11716822_a_at","BDH2"
"11716833_a_at","TM7SF3"
"11716847_a_at","SLC43A3"
"11716859_a_at","ETFA"
"11716872_a_at","ADCY3"
"11717017_a_at","OCIAD2"
"11717039_a_at","GADD45A"
"11717060_a_at","DECR1"
"11717062_at","AP1M2"
"11717099_at","HIST1H2BK"
"11717104_a_at","GRHPR"
"11717117_a_at","PDXP"
"11717118_a_at","P4HA2"
"11717127_a_at","ANPEP"
"11717135_a_at","PCSK1N"
"11717162_a_at","SLC29A1"
"11717339_s_at","SORD"
"11717346_a_at","ADD3"
"11717354_at","PCBD1"
"11717385_a_at","MT1G"
"11717400_a_at","FAH"
"11717404_x_at","TDP2"
"11717432_a_at","ECHDC1"
"11717435_a_at","CDCA7L"
"11717467_a_at","TTC38"
"11717479_at","LAMP2"
"11717496_a_at","IMPA2"
"11717501_a_at","HAGH"
"11717511_a_at","CIRH1A"
"11717515_a_at","HSD17B10"
"11717610_s_at","SUCLG2"
"11717621_a_at","FOXN3"
"11717661_a_at","PPP1R16B"
"11717737_at","PCYOX1"
"11717743_a_at","ACOT7"
"11717775_s_at","GYPC"
"11717820_a_at","SLC4A4"
"11717852_at","NAGLU"
"11717859_a_at","EBP"
"11717912_s_at","CXCL14"
"11717928_a_at","FOLR1"
"11717981_a_at","ACP5"
"11718031_a_at","ATP6V0A1"
"11718048_a_at","GLRX"
"11718064_a_at","S100A4"
"11718071_s_at","NCOR2"
"11718090_a_at","TPCN1"
"11718117_a_at","NFS1"
"11718163_a_at","UGT1A1"
"11718169_a_at","AZGP1"
"11718202_a_at","BTD"
"11718213_a_at","SLC27A2"
"11718237_a_at","C1orf115"
"11718244_a_at","SLC25A42"
"11718250_a_at","TBC1D13"
"11718291_a_at","HK1"
"11718315_at","SLC16A2"
"11718316_at","SLC25A10"
"11718324_s_at","SESN2"
"11718383_a_at","AIFM1"
"11718406_s_at","TMBIM6"
"11718418_a_at","TST"
"11718420_a_at","CLPTM1L"
"11718474_a_at","IDH1"
"11718481_s_at","CFI"
"11718490_s_at","FABP5"
"11718565_at","KIAA1147"
"11718640_at","SPR"
"11718683_s_at","AFP"
"11718731_a_at","MAPT"
"11718737_a_at","ST3GAL1"
"11718754_at","CAPN5"
"11718793_at","C4orf27"
"11718801_a_at","C1orf216"
"11718818_s_at","SLC26A6"
"11718822_a_at","DOK4"
"11718911_a_at","PDZD2"
