"ProbeID","GeneSymbol"
"11715164_s_at","IGLL3"
"11715207_at","WDFY4"
"11715346_at","EBI3"
"11715396_s_at","MUTED"
"11715461_at","LYZ"
"11715466_at","ARHGDIB"
"11715482_a_at","MCL1"
"11715583_s_at","HLADPA1"
"11715665_a_at","PSMB8"
"11715667_s_at","TPM3"
"11715670_a_at","IFITM1"
"11715685_s_at","ARPC5"
"11715915_a_at","CD44"
"11715919_a_at","SH3BGRL3"
"11715948_at","KCTD12"
"11716015_a_at","CMTM3"
"11716018_s_at","RAB31"
"11716055_s_at","STMN3"
"11716103_a_at","PCNA"
"11716358_s_at","PRC1"
"11716385_at","TGFB1"
"11716406_x_at","LGALS9"
"11716416_at","C1QA"
"11716450_s_at","RFTN1"
"11716479_s_at","F13A1"
"11716533_a_at","PPT1"
"11716554_a_at","HLADMA"
"11716629_at","IER5"
"11716640_a_at","CTRL"
"11716713_a_at","ARHGAP17"
"11716733_at","IRF1"
"11716759_a_at","CASP4"
"11716793_a_at","CCNB2"
"11716795_s_at","IFI16"
"11716804_at","PLEKHA2"
"11716818_a_at","VSIG4"
"11716842_a_at","CD53"
"11716846_a_at","MS4A6A"
"11716848_a_at","PREX1"
"11716908_a_at","RNASET2"
"11716918_a_at","NAGK"
"11716993_a_at","CSF1R"
"11717163_s_at","CDC20"
"11717178_a_at","STAT5A"
"11717217_at","STK10"
"11717256_at","PIM1"
"11717300_x_at","HLADPB1"
"11717319_a_at","SEC24D"
"11717337_a_at","ITGB2"
"11717397_a_at","DDB2"
"11717409_at","SH2B3"
"11717503_s_at","NUB1"
"11717508_at","IRF4"
"11717521_x_at","PTTG1"
"11717542_a_at","NFKB1"
"11717561_s_at","DTX3L"
"11717580_a_at","CD52"
"11717636_s_at","RHOG"
"11717657_a_at","EZH2"
"11717760_a_at","GMFG"
"11717823_s_at","TNFAIP2"
"11717836_a_at","AIF1"
"11717858_a_at","CD37"
"11717863_a_at","DUSP5"
"11717872_a_at","IRF8"
"11717889_s_at","GNAI2"
"11717900_at","ASF1B"
"11717986_a_at","APOC1"
"11718001_a_at","C10orf54"
"11718005_a_at","CDC25B"
"11718073_at","IL4R"
"11718084_a_at","LYN"
"11718127_at","TK1"
"11718140_a_at","EMP3"
"11718158_a_at","NMI"
"11718183_at","CDCA5"
"11718184_a_at","FCHSD2"
"11718230_a_at","HLAF"
"11718290_a_at","FXYD5"
"11718297_a_at","TACC3"
"11718419_at","FCER1G"
"11718568_a_at","WIPF1"
"11718608_at","UBA7"
"11718680_a_at","CD97"
"11718788_a_at","ADA"
"11718807_at","TNFRSF1B"
"11718809_a_at","PRKCH"
"11718843_s_at","DNAJC25GNG10"
"11718849_at","PTPRCAP"
"11718861_a_at","HCK"
"11718915_a_at","RGS19"
"11718916_a_at","IRF7"
"11718939_s_at","TNFAIP3"
"11718943_a_at","AURKA"
"11718982_s_at","CCL4"
"11719021_at","WDFY1"
"11719049_a_at","RASSF5"
"11719050_a_at","BTN2A1"
"11719132_s_at","FAM49B"
"11719302_a_at","PYGL"
"11719327_a_at","CRELD2"
"11719332_at","ARHGAP15"
"11719367_a_at","PLEKHO2"
"11719377_x_at","CAP1"
"11719431_a_at","TMC6"
"11719433_at","HECA"
"11719447_s_at","GBP2"
"11719465_a_at","C1QB"
"11719479_at","ALOX5AP"
"11719480_a_at","CSTA"
"11719539_a_at","TMEM194A"
"11719554_at","CTSS"
"11719686_a_at","MICAL1"
"11719692_a_at","RARRES3"
"11719699_a_at","CDC45"
"11719718_a_at","SYK"
"11719738_at","DCP2"
"11719745_s_at","ARHGAP27"
"11719780_at","TNFAIP8L2"
"11719800_at","C6orf62"
"11719838_a_at","CASP3"
"11719844_at","SMAP2"
"11719892_at","VASH1"
"11719902_a_at","PHF11"
"11719943_at","CXCL9"
"11719952_a_at","FKBP15"
"11720013_a_at","ATM"
"11720063_a_at","GLIPR2"
"11720096_a_at","LIMD2"
"11720107_s_at","KIF2A"
"11720115_a_at","MST4"
"11720143_at","C1orf96"
"11720161_at","CXCL13"
"11720167_at","SELL"
"11720185_a_at","MAD2L1"
"11720203_a_at","AURKB"
"11720207_a_at","IL2RG"
"11720241_at","KIF4A"
"11720247_a_at","CEP55"
"11720251_at","CCL18"
"11720264_at","ASCC3"
"11720298_at","CXCL10"
"11720300_a_at","SLA"
"11720364_a_at","GIMAP5"
"11720380_a_at","IMPDH1"
"11720388_s_at","C1QC"
"11720443_s_at","BAZ1A"
"11720493_s_at","MOBKL2A"
"11720496_at","GZMA"
"11720510_a_at","APOBEC3G"
"11720566_at","BCAT1"
"11720585_a_at","SMCHD1"
"11720624_a_at","MYD88"
"11720647_a_at","BUB1B"
"11720680_a_at","DGKA"
"11720682_at","TIFA"
"11720694_a_at","C1orf59"
"11720747_a_at","ADCY7"
"11720763_a_at","SELPLG"
"11720798_at","RAB8B"
"11720827_a_at","CENPW"
"11720844_at","N4BP1"
"11720867_x_at","PLAC8"
"11720910_a_at","NELL2"
"11720922_a_at","HCP5"
"11720956_a_at","IKBKE"
"11720964_s_at","DCK"
"11720970_at","TOP2A"
"11720982_s_at","PTK2B"
"11720994_x_at","CCL3"
"11720998_a_at","BIN2"
"11721099_at","C3AR1"
"11721143_a_at","MKI67"
"11721158_a_at","DRAM2"
"11721169_a_at","PYCARD"
"11721202_at","RNASE6"
"11721236_a_at","LHFPL2"
"11721243_a_at","LAP3"
"11721248_s_at","GNG2"
"11721292_a_at","GIT2"
"11721302_a_at","CLEC2B"
"11721346_a_at","MPEG1"
"11721554_a_at","GLT25D1"
"11721563_a_at","MELK"
"11721574_a_at","ELF4"
"11721577_at","TNF"
"11721587_at","TRAF1"
"11721615_a_at","C1orf38"
"11721626_a_at","Septin6"
"11721629_a_at","MAFB"
"11721661_a_at","TBXAS1"
"11721695_s_at","DUSP2"
"11721728_a_at","ARHGAP30"
"11721761_a_at","PIK3R5"
"11721763_at","ADRBK2"
"11721810_at","PIM2"
"11721815_a_at","FAIM3"
"11721838_a_at","GLIPR1"
"11721900_at","FCN1"
"11721922_at","PRKCB"
"11721927_at","TMC8"
"11721994_s_at","UBE2L6"
"11721996_a_at","PARP14"
"11722011_a_at","GIMAP4"
"11722069_a_at","SKA1"
"11722086_x_at","Septin1"
"11722095_a_at","KIF21B"
"11722120_a_at","KNTC1"
"11722134_a_at","TNFRSF25"
"11722143_at","TRANK1"
"11722170_a_at","CORO7"
"11722225_a_at","ADAM8"
"11722247_a_at","RASSF1"
"11722251_a_at","NEK2"
