"ProbeID","GeneSymbol"
"11715273_at","TPM2"
"11715320_s_at","TTN"
"11715594_a_at","RBM38"
"11715708_s_at","MB"
"11715712_a_at","NRD1"
"11715768_x_at","SIRT2"
"11716020_s_at","RAD23A"
"11716202_a_at","PFKM"
"11716267_at","AK1"
"11716440_s_at","USO1"
"11716494_a_at","MAP4"
"11716508_at","CUL3"
"11716543_a_at","TNNI1"
"11716590_s_at","BTBD1"
"11716654_a_at","EML4"
"11716675_at","ZFP106"
"11716867_at","FEM1A"
"11717012_s_at","VAMP8"
"11717048_a_at","DES"
"11717191_a_at","TNNC2"
"11717221_s_at","PPP3CB"
"11717430_s_at","COX7A1"
"11717570_s_at","MYH7"
"11717575_at","PPP1R3C"
"11717611_a_at","MAST2"
"11717776_at","KIF1C"
"11718020_a_at","LRRC20"
"11718057_at","UTP11L"
"11718118_s_at","CFL2"
"11718199_at","KPNA3"
"11718243_a_at","ITGA7"
"11718277_a_at","MYL2"
"11718304_s_at","MYO18A"
"11718520_at","KCMF1"
"11718633_a_at","KIF1B"
"11718873_a_at","ATP2A2"
"11718958_s_at","PRKAB2"
"11718976_x_at","ARPP19"
"11719077_a_at","RPUSD4"
"11719092_at","DUSP26"
"11719108_a_at","FHL3"
"11719187_a_at","MYOZ1"
"11719215_a_at","STBD1"
"11719245_a_at","LARGE"
"11719247_at","AIM1"
"11719252_a_at","DNAJB5"
"11719268_at","TNNC1"
"11719371_a_at","GYS1"
"11719394_a_at","FBXO32"
"11719424_at","C7orf70"
"11719481_a_at","FABP7"
"11719599_a_at","HOMER2"
"11719631_s_at","BIN1"
"11719659_x_at","ATP1A2"
"11719715_a_at","FXR1"
"11719790_a_at","MYL3"
"11719823_at","ZAK"
"11719876_at","CKMT2"
"11719970_a_at","PACSIN3"
"11720202_at","GMPR"
"11720488_a_at","HSPB6"
"11720489_a_at","ACTC1"
"11720518_a_at","TACC2"
"11720520_s_at","PDE4DIP"
"11720633_a_at","FLNC"
"11720693_a_at","IL17D"
"11720830_at","C1orf21"
"11720888_s_at","AGL"
"11720924_at","TCAP"
"11720973_x_at","ASB8"
"11720997_a_at","ADCY2"
"11721031_a_at","SH3BGR"
"11721034_at","PPP1R3B"
"11721177_at","PITX1"
"11721212_a_at","THBS4"
"11721252_a_at","MYLPF"
"11721289_at","TPM3"
"11721548_a_at","CMYA5"
"11721641_a_at","CAP2"
"11721904_a_at","CCDC28B"
"11722019_a_at","CCDC21"
"11722028_at","UBE2G1"
"11722255_a_at","RRAD"
"11722333_a_at","FNDC5"
"11722364_at","COX6A2"
"11722619_a_at","AQP4"
"11722646_a_at","MYL1"
"11722659_at","PEBP4"
"11722764_at","WDR62"
"11722911_at","USP13"
"11722958_a_at","ABLIM2"
"11722991_a_at","DMD"
"11723042_at","UBE2D1"
"11723081_s_at","DVL1"
"11723084_x_at","SCN1B"
"11723117_a_at","PCNT"
"11723213_a_at","MEF2C"
"11723222_s_at","MYOT"
"11723223_at","CASQ2"
"11723393_a_at","ALPK3"
"11723552_a_at","FXYD1"
"11723675_a_at","CASQ1"
"11723891_a_at","CAND2"
"11723908_at","KCNMA1"
"11723920_at","KBTBD10"
"11723921_at","BBS5"
"11723967_a_at","TNNT3"
"11723999_a_at","NRAP"
"11724073_a_at","PPP2R3B"
"11724112_at","SIX1"
"11724167_s_at","GLT25D2"
"11724200_a_at","PYGM"
"11724594_at","HRASLS"
"11724653_at","ZBTB47"
"11724772_a_at","ITIH4"
"11724989_a_at","CLTCL1"
"11725066_a_at","CAMK2B"
"11725088_at","MYH1"
"11725125_a_at","NEB"
"11725136_a_at","MYOM2"
"11725173_at","MN1"
"11725239_a_at","ASB2"
"11725327_a_at","CAMK2D"
"11725583_at","FBXO10"
"11725609_a_at","DTNA"
"11725650_s_at","DCAF5"
"11725704_a_at","AMOTL1"
"11725822_a_at","JPH1"
"11725893_at","TXLNB"
"11725916_a_at","BVES"
"11725925_at","MYBPH"
"11725935_at","CAMK2A"
"11726020_a_at","EEPD1"
"11726035_at","PGAM2"
"11726087_at","HSPB3"
"11726132_a_at","MYOM1"
"11726137_a_at","LDB3"
"11726194_a_at","RTN2"
"11726241_at","RYR3"
"11726315_a_at","C16orf68"
"11726349_a_at","ANKRD2"
"11726398_a_at","SPTB"
"11726413_a_at","USP54"
"11726420_a_at","HFE2"
"11726423_a_at","SCN3B"
"11726428_a_at","DCAF6"
"11726475_a_at","TMEM52"
"11726499_at","ANO5"
"11726582_at","PPAPDC3"
"11726676_a_at","APOBEC2"
"11726751_at","MAP6D1"
"11726768_at","SMPX"
"11726786_at","NKAPL"
"11726796_a_at","NEXN"
"11726833_a_at","HSPB2"
"11726880_a_at","XIRP2"
"11727086_at","RXRG"
"11727139_at","MYH7B"
"11727140_a_at","MUSTN1"
"11727169_x_at","PDLIM7"
"11727220_at","FITM1"
"11727246_at","CHRNB1"
"11727248_a_at","MYH3"
"11727258_at","DHRS7C"
"11727267_a_at","SRPK3"
"11727338_a_at","CARNS1"
"11727449_a_at","TMOD4"
"11727543_at","OIP5"
"11727680_a_at","ADSL"
"11727713_at","KCNJ12"
"11727745_at","C13orf39"
"11727911_a_at","ANKRD23"
"11727915_a_at","NCAM1"
"11728025_a_at","PPM1J"
"11728088_at","DKK2"
"11728137_at","XK"
"11728166_a_at","CUTC"
"11728309_a_at","ARPP21"
"11728344_a_at","SYNPO"
"11728497_s_at","SVIL"
"11728521_a_at","ART3"
"11728544_a_at","SMYD1"
"11728562_a_at","DUSP13"
"11728595_a_at","CAV3"
"11728793_s_at","EEF2K"
"11728866_a_at","ITGB1BP3"
"11728872_a_at","RBM24"
"11728957_a_at","E2F8"
"11729001_a_at","TBX15"
"11729108_a_at","MBP"
"11729234_at","E2F6"
"11729268_a_at","STAC3"
"11729273_a_at","SH3RF2"
"11729281_s_at","PTP4A3"
"11729323_a_at","ASB5"
"11729352_at","MYF6"
"11729422_a_at","POPDC3"
"11729492_a_at","PPFIA4"
"11729500_a_at","HHATL"
"11729563_a_at","LRRC3B"
"11729619_at","CLCN4"
"11729632_a_at","CSDA"
"11729782_a_at","BOLL"
"11729864_at","MYBPC2"
"11729872_a_at","SLC8A3"
"11729935_a_at","PITX2"
"11730003_a_at","CACNB1"
"11730019_a_at","C6orf142"
"11730114_a_at","TRIM54"
"11730146_at","KLHL31"
"11730159_at","RBM20"
"11730273_at","MYOD1"
"11730365_at","AMPD1"
"11730388_a_at","RYR1"
"11730438_at","FBP2"
"11730511_a_at","MAMSTR"
"11730513_a_at","C7orf53"
"11730706_a_at","VGLL2"
"11730908_at","HRC"
"11730995_a_at","ACTN3"
"11731085_a_at","CAPN3"
"11731114_a_at","SGCG"
"11731137_a_at","MYPN"
"11731178_a_at","FAM189A2"
"11731192_a_at","UNC13C"
"11731211_at","ARX"
"11731233_at","NTF4"
"11731265_at","KY"
"11731269_at","KRT31"
"11731279_a_at","IGFN1"
"11731344_a_at","OBSCN"
"11731382_a_at","BEST3"
"11731445_at","ANKRD1"
"11731506_a_at","RAD23B"
"11731513_at","XPO4"
"11731556_a_at","SYNPO2"
"11731668_x_at","SGCA"
"11731808_at","CACNA1S"
"11731835_a_at","RAPSN"
"11731939_a_at","UCP3"
"11731947_at","PAQR9"
"11732000_a_at","PDE11A"
"11732035_at","C10orf92"
"11732135_a_at","CABC1"
"11732186_at","CSRP3"
"11732203_at","KPNA5"
"11732268_a_at","KBTBD5"
"11732315_a_at","SGCD"
"11732357_s_at","ZNRF1"
"11732402_a_at","UBAC1"
"11732407_at","PRPH2"
"11732499_at","CACNG1"
"11732501_a_at","TMOD1"
"11732524_a_at","CHKBCPT1B"
"11732532_at","JSRP1"
"11732537_x_at","ZMYND17"
"11732539_a_at","ASB12"
"11732542_at","TRIM7"
"11732547_a_at","KALRN"
"11732588_at","KCNB1"
"11732620_at","C20orf166"
"11732852_a_at","ATP1B4"
"11732881_s_at","TBX1"
"11732929_a_at","KBTBD12"
"11732969_a_at","MYBPC1"
"11733042_at","SLC7A2"
"11733085_a_at","ENO3"
"11733279_a_at","ACHE"
"11733322_a_at","TRDN"
"11733342_at","IDI2"
"11733384_a_at","TMEM182"
"11733447_a_at","SYNPO2L"
"11733448_a_at","UNC45B"
"11733523_at","PPP1R3A"
"11733544_a_at","SPEG"
"11733579_a_at","C19orf47"
"11733671_a_at","EYA1"
"11733699_a_at","TEAD4"
"11733717_at","CALML6"
"11733749_s_at","TNNI2"
"11733772_a_at","ASB11"
"11733792_a_at","SLC25A12"
"11733817_s_at","FHL1"
"11733826_at","MYOZ2"
"11733878_a_at","LMO7"
"11734001_at","ACTN2"
"11734072_a_at","A2BP1"
"11734096_a_at","TMEM108"
"11734121_s_at","LRP1B"
"11734131_a_at","SLC2A4"
"11734151_at","ABRA"
"11734226_a_at","LIMCH1"
"11734256_a_at","PRKAG3"
"11734259_a_at","SCP2"
"11734294_at","KCNJ11"
"11734325_a_at","CADM2"
"11734352_a_at","ANK1"
"11734594_a_at","LIN7B"
"11734668_at","KPNA1"
"11735040_at","RPL3L"
"11735069_a_at","MYOZ3"
"11735203_a_at","MEGF10"
"11735240_a_at","ACYP2"
"11735286_at","MYADML2"
"11735291_s_at","LOC653513"
"11735376_at","MSTN"
"11735401_at","SCN4A"
"11735422_at","MYOG"
"11735662_a_at","P2RY2"
"11735675_at","EN1"
"11735683_a_at","TP63"
"11735760_a_at","POPDC2"
"11736237_a_at","ABCA5"
"11736282_a_at","PDLIM5"
"11736499_at","TMEM38A"
"11736505_at","TECRL"
"11736522_a_at","TNNT1"
"11736713_a_at","LMOD2"
"11736957_x_at","TRIM72"
"11736965_at","FBXO40"
"11737139_a_at","MURC"
"11737227_at","DYSFIP1"
"11737242_at","TMEM233"
"11737243_a_at","FSD2"
"11737568_a_at","YIPF7"
"11737620_a_at","PRR16"
"11737657_a_at","NRG4"
"11737669_a_at","KCNT1"
"11737814_a_at","GYG1"
"11738011_a_at","MYLK2"
"11738054_a_at","ITGB1BP2"
"11738055_at","C8orf22"
"11738513_at","GADL1"
"11738594_at","DUPD1"
"11738801_x_at","MYH4"
"11738892_a_at","TPM1"
"11739454_x_at","C1QTNF9"
"11739457_a_at","SYNC"
"11739493_at","MGAT4A"
"11739505_a_at","LMCD1"
"11739724_a_at","ATP2B2"
"11739737_at","DCUN1D2"
"11740051_at","DUSP27"
"11740095_a_at","LRRC2"
"11740113_x_at","NIPSNAP3B"
"11740216_at","LMOD3"
"11740288_a_at","CHRNA1"
"11740313_s_at","MYH6"
"11740473_a_at","CLIP1"
"11740504_at","ZNF680"
"11740522_a_at","TPO"
"11740534_x_at","AARSD1"
"11740556_at","CCDC141"
"11740631_at","MYF5"
"11740683_a_at","PRKG1"
"11740786_a_at","SYNM"
"11740846_s_at","C10orf71"
"11740889_a_at","ATP2A1"
"11741174_s_at","PKIA"
"11741422_a_at","ADPRHL1"
"11741538_at","KLHL30"
"11741584_a_at","ASB10"
"11741723_x_at","DENND2C"
"11742077_at","CHRNG"
"11742124_a_at","CACNG6"
"11742303_a_at","ASPH"
"11742419_at","MYLK3"
"11742897_a_at","MYH2"
"11742943_a_at","CKM"
"11742969_a_at","HDAC10"
"11743013_a_at","RNF115"
"11743108_a_at","ACTA1"
"11743132_at","SLN"
"11743184_a_at","CYB5R1"
"11743265_a_at","ENSA"
"11743614_a_at","USP47"
"11743717_at","SMTNL1"
"11743746_a_at","PHKA1"
"11743896_at","RCOR3"
"11743912_a_at","MYOC"
"11744093_a_at","EEF1A2"
"11744244_a_at","MASP1"
"11744400_a_at","MYL6B"
"11744773_a_at","DSCR8"
"11744838_a_at","DUSP28"
"11745045_at","C1orf170"
"11745252_at","C13orf29"
"11745363_at","LOC151121"
"11746262_a_at","MAPK12"
"11746551_a_at","SEMA6C"
"11746759_at","LOC729467"
"11748423_a_at","PGM1"
"11749907_a_at","TRIM63"
"11749914_a_at","C3orf43"
"11750175_s_at","LOC645954"
"11750458_x_at","CA3"
"11750965_a_at","SRL"
"11751455_a_at","REEP1"
"11752085_a_at","GREB1L"
"11752458_a_at","PKM2"
"11753057_a_at","HSPB7"
"11753790_x_at","ST3GAL3"
"11753830_a_at","MLLT11"
"11753923_at","LOC401093"
"11753938_a_at","FAM166B"
"11754460_x_at","RGMA"
"11754657_a_at","JPH2"
"11754874_a_at","LGI1"
"11755106_a_at","PDLIM3"
"11755149_x_at","MEF2D"
"11755196_a_at","CORO6"
"11755208_a_at","DNASE1L1"
"11755350_a_at","XIRP1"
"11755487_a_at","KIF13A"
"11755551_a_at","MYO18B"
"11755610_a_at","PGPEP1L"
"11755698_a_at","TUBA8"
"11755818_a_at","FYCO1"
"11755835_s_at","GATS"
"11755840_a_at","CLCN1"
"11755904_a_at","RILPL1"
"11755960_a_at","LRRC39"
"11756011_a_at","PTPRJ"
"11756240_a_at","SHISA4"
"11756244_a_at","FBXO31"
"11756477_a_at","TTLL11"
"11756480_s_at","CSDE1"
"11756525_a_at","C10orf110"
"11757688_a_at","ANKHD1"
"11757870_a_at","NEURL"
"11758018_s_at","UBR3"
"11758117_s_at","LRRFIP2"
"11758244_s_at","AKAP6"
"11758582_s_at","SIX4"
"11759197_at","RAB9B"
"11759362_x_at","PHKG1"
"11759465_s_at","MAFA"
"11759572_a_at","STAU2"
"11759664_a_at","B4GALNT1"
"11759791_at","FILIP1"
"11759949_at","COBL"
"11760340_at","CHRND"
"11763349_at","LOC100288685"
"11763972_at","SSR1"
